contact_id,first_name,last_name,phone,email,date_of_birth,created_at
CNT-000001,Melissa,Allen,555-565-2376,melissa.allen.0001@example.test,1987-04-04,2026-05-25T10:43:43
CNT-000002,Deborah,Allen,555-265-4745,deborah.allen.0002@example.test,1989-01-27,2026-05-01T16:32:08
CNT-000003,Charles,Johnson,555-401-5415,charles.johnson.0003@example.test,1963-09-25,2026-05-28T13:05:04
CNT-000004,Michelle,Baker,555-510-3244,michelle.baker.0004@example.test,1989-12-04,2026-05-08T12:48:10
CNT-000005,Robert,Nelson,555-899-2960,robert.nelson.0005@example.test,,2026-05-01T17:53:49
CNT-000006,Steven,Sanchez,555-885-6969,steven.sanchez.0006@example.test,2006-03-23,2026-05-01T17:53:49
CNT-000007,Margaret,Campbell,555-361-3894,margaret.campbell.0007@example.test,,2026-05-07T16:57:33
CNT-000008,Jennifer,Martinez,555-337-7482,jennifer.martinez.0008@example.test,1989-11-07,2026-05-07T16:57:33
CNT-000009,Donald,Rodriguez,555-935-4116,donald.rodriguez.0009@example.test,2002-03-10,2026-05-04T17:10:59
CNT-000010,Kevin,Allen,555-745-1781,kevin.allen.0010@example.test,1981-11-21,2026-05-05T17:07:30
CNT-000011,Patricia,Perez,555-671-3218,patricia.perez.0011@example.test,1991-02-21,2026-05-25T18:20:48
CNT-000012,James,Martin,555-328-6232,james.martin.0012@example.test,1961-04-09,2026-05-08T16:38:57
CNT-000013,Charles,Lewis,555-986-7136,charles.lewis.0013@example.test,,2026-05-10T07:02:37
CNT-000014,Stephanie,Torres,555-133-6893,stephanie.torres.0014@example.test,1986-11-13,2026-05-10T07:02:37
CNT-000015,John,Campbell,555-794-0248,john.campbell.0015@example.test,1976-07-11,2026-05-14T09:44:48
CNT-000016,Barbara,Gonzalez,555-646-7192,barbara.gonzalez.0016@example.test,2005-05-26,2026-05-16T09:44:48
CNT-000017,Kimberly,Campbell,555-868-4502,kimberly.campbell.0017@example.test,1970-06-10,2026-05-12T18:01:56
CNT-000018,Timothy,Hernandez,555-028-5922,timothy.hernandez.0018@example.test,1993-07-18,2026-05-05T10:01:42
CNT-000019,Sharon,Gonzalez,555-827-2614,sharon.gonzalez.0019@example.test,1976-01-23,2026-05-07T11:01:42
CNT-000020,Edward,Walker,555-467-9642,edward.walker.0020@example.test,1979-07-11,2026-05-01T19:51:28
CNT-000021,Daniel,Baker,555-532-7671,daniel.baker.0021@example.test,1965-11-16,2026-05-15T17:09:32
CNT-000022,Stephanie,Clark,555-467-9543,stephanie.clark.0022@example.test,1979-10-18,2026-05-16T23:09:32
CNT-000023,Matthew,Davis,555-542-4864,matthew.davis.0023@example.test,2007-08-24,2026-05-08T08:58:50
CNT-000024,Cynthia,Hill,555-938-4721,cynthia.hill.0024@example.test,,2026-05-09T11:54:57
CNT-000025,Sandra,Taylor,555-355-1497,sandra.taylor.0025@example.test,1977-02-22,2026-05-09T11:54:57
CNT-000026,Daniel,Garcia,555-007-9345,daniel.garcia.0026@example.test,1966-04-08,2026-05-10T17:20:31
CNT-000027,Michael,Torres,555-196-6315,michael.torres.0027@example.test,1997-12-12,2026-05-12T22:20:31
CNT-000028,Elizabeth,Harris,555-716-8816,elizabeth.harris.0028@example.test,,2026-05-01T12:14:55
